town,source_kind,topic,term,meeting_date,meeting_body,item_title,url,start_seconds,context
Andover,transcript,predictive_policing,predictive_policing,2025-11-19,Zoning Board of Appeals,Zoning Board of Appeals11.19.25,https://www.youtube.com/watch?v=S8M_S9gb7Nw&t=507s,507,"conforming, closer to what the overall zone wanted. In that case, it was going from an existing foundry use to a car repair shop. So they the courts held after the after the variance was upheld,"
Ansonia,transcript,alpr,alpr_flock,2022-12-14,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=hApXtLIRNrA&t=4432s,4432,oh absolutely okay absolutely yeah that's where the License Plate Reader and that uh that the real-time monitoring part comes in so so you only got
Ansonia,transcript,alpr,alpr_vendor,2022-06-23,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=BXyNry8NL_U&t=1627s,1627,vehicle in the next uh budget axon fleet if you drove by the police department today you may have seen uh them out working on cars in the parking
Ansonia,transcript,body_camera,body_camera,2026-02-11,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=mHzwOQ3OgIk&t=5041s,5041,There was an officer and a supervisor that had gone there. I watched their body cam videos. Um there was definitely no rudeness. There was definitely no disrespect. There was trying to resolve
Ansonia,transcript,body_camera,body_camera,2026-01-14,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=oKQG_cNTkDE&t=471s,471,">> Yep. And we will discuss it. Uh police >> I'll take a look at it because obviously there'll be body cam footage. So if officer was rude or disrespectful, I'll be able to watch the interaction"
Ansonia,transcript,body_camera,body_camera,2026-01-14,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=oKQG_cNTkDE&t=3319s,3319,thing about people when there's a complaint made about an officer is they all wear a body cam. So I can just sit play and watch what happened. Um and I will tell you it will probably be
Ansonia,transcript,body_camera,body_camera,2021-07-15,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=qf-PAQq7QMQ&t=2159s,2159,so we are we have been paying roughly 32 let's say 32 to 35 000 a year for our current body cam system and we're going up to roughly eighty thousand dollars
Ansonia,transcript,body_camera,body_camera,2021-01-13,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=VFqIA7Q_NcM&t=2379s,2379,and then the one that we're waiting for a final number but we're working with our body cam company because we've had them for almost six years now um that's going to
Ansonia,transcript,body_camera,body_camera,2020-11-03,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=E_pwFNAy6WQ&t=5983s,5983,"uh talking about the additional cost that um this bill is going to to uh just for the body cam I think was going to be about almost $100,000 a year for for derby um and we had our own numbers from"
Ansonia,transcript,body_camera,body_camera,2020-09-14,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=4wXVi0jTXJU&t=1426s,1426,i guess finances pricing moving forward we are waiting for some stuff from our our body cam uh company they've had some questions for us we've answered those so i don't have anything uh specific right
Ansonia,transcript,drone,drone,2025-06-11,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=dAbjq3EbCzY&t=2136s,2136,"And that's He sits more to the right, John. I think he's down in the 30. My drone will pick it up. Unless you just put Chargers on both sides like the Jets. Both sides. No, let's not do"
Ansonia,transcript,drone,drone,2025-06-11,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=dAbjq3EbCzY&t=5086s,5086,"times and um I just curious, do we have uh in that uh the ability to uh have drone surveillance? Does anybody uh close by and other police departments or other investigations? I will tell you as"
Ansonia,transcript,drone,drone,2017-08-09,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=FI3guTl4sJM&t=4416s,4416,you to come over I I have right here and I'd be happy to and I'd be happy to look at it my point drone uh Mr y I've got some more want Mr Blackwell you had your hand up first just want to make it clear
Ansonia,transcript,predictive_policing,predictive_policing,2025-02-12,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=V0qSwkkxEso&t=1866s,1866,noticed there's a chain link fence that has been recently put up around the church at the base of Foundry Hill and uh I'm wondering is is that to prepare for its
Ansonia,transcript,predictive_policing,predictive_policing,2023-09-13,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=E_MKZB2H7F8&t=3114s,3114,owner that owns two former feral buildings one is the one that you see here the form of The Foundry that abuts um the end of Main Street so as you go down right past the police station the
Ansonia,transcript,predictive_policing,predictive_policing,2021-08-11,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=9fjXfxpqlXA&t=1713s,1713,i mentioned i mentioned this to mickey one day i was sitting at the traffic light coming down foundry hill and uh [Music]
Ansonia,transcript,predictive_policing,predictive_policing,2020-07-07,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=L6HPW0zJNeo&t=8472s,8472,this project and go out to rebid in the market that we were in we have Foundry bids end up to be a higher number a tree bid because sometimes the low bidders would back
Ansonia,transcript,surveillance_general,surveillance_general,2024-04-10,Board of Aldermen,Ansonia Connecticut Board of Aldermen,https://www.youtube.com/watch?v=xR2fpiWuYr4&t=1746s,1746,and the additional survey work has been completed pipe cleaning and CCTV inspection has been completed um retaining wall is in design and um you know just moving along not not exciting
Ashford,transcript,alpr,alpr_flock,2024-12-09,Planning & Zoning Commission,"Planning & Zoning Commission, December 9, 2024",https://www.youtube.com/watch?v=rnp-ssOztow&t=7773s,7773,don't think it's as important that we judge as to whether people are going to flock to this as something that they see as fun as it is that we understand that this is something that will help support
